,Eco,Winner,Wins
0,A00,black,576
1,A00,white,361
2,A04,black,123
3,A04,white,153
4,A40,black,269
5,A40,white,323
6,A45,black,149
7,A45,white,101
8,B00,black,242
9,B00,white,341
10,B01,black,346
11,B01,white,341
12,B07,black,131
13,B07,white,165
14,B20,black,337
15,B20,white,217
16,B21,black,117
17,B21,white,120
18,B30,black,129
19,B30,white,97
20,B50,black,125
21,B50,white,98
22,C00,black,425
23,C00,white,406
24,C02,black,145
25,C02,white,132
26,C20,black,351
27,C20,white,292
28,C40,black,178
29,C40,white,250
30,C41,black,295
31,C41,white,396
32,C42,black,148
33,C42,white,179
34,C44,black,177
35,C44,white,193
36,C45,black,141
37,C45,white,143
38,C46,black,118
39,C46,white,149
40,C50,black,298
41,C50,white,240
42,C55,black,147
43,C55,white,165
44,D00,black,377
45,D00,white,340
46,D02,black,211
47,D02,white,219
48,D20,black,100
49,D20,white,111
