,turns,victory_status,winner,increment_code,white_rating,black_rating,opening_eco,opening_name,opening_move_count
0,13,outoftime,white,Rapid,1500,1191,D10,Slav Defense: Exchange Variation,5
1,16,resign,black,Blitz,1322,1261,B00,Nimzowitsch Defense: Kennedy Variation,4
2,61,mate,white,Blitz,1496,1500,C20,King's Pawn Game: Leonardis Variation,3
3,61,mate,white,Rapid,1439,1454,D02,Queen's Pawn Game: Zukertort Variation,3
4,95,mate,white,Classical,1523,1469,C41,Philidor Defense,5
5,5,draw,draw,Rapid,1250,1002,B27,Sicilian Defense: Mongoose Variation,4
6,33,resign,white,Rapid,1520,1423,D00,Blackmar-Diemer Gambit: Pietrowsky Defense,10
7,9,resign,black,Rapid,1413,2108,B00,Nimzowitsch Defense: Kennedy Variation |  Linksspringer Variation,5
8,66,resign,black,Rapid,1439,1392,C50,Italian Game: Schilling-Kostic Gambit,6
9,119,mate,white,Rapid,1381,1209,B01,Scandinavian Defense: Mieses-Kotroc Variation,4
10,39,mate,white,Rapid,1381,1272,A00,Van't Kruijs Opening,1
11,38,resign,black,Rapid,1381,1867,C02,French Defense: Advance Variation |  Paulsen Attack,9
12,60,resign,black,Blitz,1381,1936,C00,French Defense: Knight Variation,3
13,31,resign,black,Blitz,1381,1607,C00,French Defense #2,2
14,31,mate,white,Rapid,1094,1141,C50,Four Knights Game: Italian Variation,8
15,43,resign,black,Rapid,1141,1094,C57,Italian Game: Two Knights Defense |  Knight Attack,7
16,52,resign,black,Rapid,1094,1141,C50,Four Knights Game: Italian Variation,8
17,66,mate,black,Rapid,1141,1094,C50,Four Knights Game: Italian Variation,8
18,101,resign,black,Rapid,1094,1300,C41,Philidor Defense #3,5
19,25,resign,white,Rapid,1500,1094,D00,Queen's Pawn Game,2
20,14,resign,black,Rapid,1094,1676,C55,Italian Game: Anti-Fried Liver Defense,6
21,3,resign,white,Classical,1094,1068,A40,Horwitz Defense,2
22,17,resign,white,Rapid,1500,1094,B20,Sicilian Defense: Bowdler Attack,3
23,36,resign,white,Rapid,1307,1106,A25,English Opening: King's English Variation |  Reversed Closed Sicilian,4
24,13,resign,black,Rapid,1113,1423,B21,Sicilian Defense: Smith-Morra Gambit #2,3
25,69,mate,white,Rapid,1078,1219,D01,Queen's Pawn Game: Chigorin Variation,4
26,43,resign,white,Rapid,1825,1079,C45,Scotch Game: Haxo Gambit,8
27,54,mate,black,Rapid,1328,1038,D01,Queen's Pawn Game: Chigorin Variation,4
28,53,resign,black,Rapid,1056,1156,D10,Slav Defense,4
29,66,mate,black,Rapid,1077,1148,D06,Queen's Gambit Refused: Marshall Defense,4
30,64,resign,black,Rapid,1358,1036,B21,Sicilian Defense: Smith-Morra Gambit #2,3
31,64,mate,black,Rapid,1200,1002,B52,Sicilian Defense: Canal Attack |  Main Line,6
32,54,resign,white,Rapid,1203,1019,B27,Sicilian Defense,3
33,21,resign,black,Rapid,1019,1500,D20,Queen's Gambit Accepted: Central Variation |  Greco Variation,6
34,11,resign,white,Rapid,1422,975,B20,Sicilian Defense: Bowdler Attack,3
35,19,resign,black,Rapid,976,1832,B06,Robatsch (Modern) Defense,4
36,28,resign,white,Rapid,1569,978,D00,Blackmar-Diemer Gambit: Tartakower Variation,10
37,22,resign,black,Rapid,978,1500,A45,Indian Game,2
38,37,resign,white,Rapid,1500,978,B77,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line,17
39,34,resign,white,Classical,2449,978,A21,English Opening: King's English Variation |  Reversed Sicilian,3
40,32,draw,draw,Rapid,1207,978,B70,Sicilian Defense: Dragon Variation,10
41,71,resign,black,Blitz,1241,978,B23,Sicilian Defense: Closed Variation,3
42,30,resign,white,Classical,1500,978,B21,Sicilian Defense: Smith-Morra Gambit #2,3
43,66,resign,white,Classical,2443,978,B76,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Modern Line,17
44,41,resign,white,Rapid,1500,978,B21,Sicilian Defense: Smith-Morra Gambit #2,3
45,49,resign,white,Rapid,1500,978,B20,Sicilian Defense: Bowdler Attack,3
46,3,resign,black,Rapid,978,1500,B01,Scandinavian Defense,2
47,7,resign,white,Rapid,1343,978,B20,Sicilian Defense: Bowdler Attack,3
48,35,mate,white,Classical,2436,978,B77,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line,17
49,41,mate,white,Classical,2436,978,B01,Scandinavian Defense: Mieses-Kotroc Variation,4
50,5,resign,black,Rapid,978,1500,C00,French Defense: Normal Variation,3
51,7,resign,white,Rapid,1500,978,C21,King's Pawn Game: Beyer Gambit,4
52,53,mate,white,Rapid,978,1500,A80,Dutch Defense,2
53,36,resign,black,Rapid,1500,978,A20,English Opening: King's English Variation,2
54,8,resign,white,Rapid,1521,1162,A04,Zukertort Opening: Ross Gambit,2
55,3,resign,white,Blitz,1407,1500,B23,Sicilian Defense: Closed Variation,3
56,28,resign,white,Rapid,1492,1458,C26,Vienna Game: Mengarini Variation,5
57,30,resign,black,Rapid,1414,1442,C41,Philidor Defense: Larsen Variation,8
58,44,resign,black,Rapid,1457,1294,C44,Scotch Game,5
59,29,resign,white,Rapid,1525,1466,C41,Philidor Defense: Lopez Countergambit,6
60,37,resign,black,Blitz,1207,1579,C00,French Defense: Knight Variation,3
61,49,resign,white,Blitz,1567,1573,A40,Modern Defense,2
62,32,resign,black,Blitz,1578,1605,A40,Horwitz Defense,2
63,25,resign,white,Blitz,1939,1581,E10,Blumenfeld Countergambit #2,6
64,40,mate,black,Blitz,1618,1568,C00,French Defense #2,2
65,39,resign,white,Blitz,1755,1574,A04,Zukertort Opening: Kingside Fianchetto,2
66,57,resign,white,Rapid,1561,1596,A45,Indian Game,2
67,78,resign,black,Blitz,1500,1554,C00,French Defense: Queen's Knight,3
68,61,resign,white,Rapid,1544,1461,D00,Queen's Pawn Game: Mason Attack,3
69,44,resign,black,Rapid,1563,1335,D00,Queen's Pawn Game: Mason Attack,3
70,62,mate,black,Rapid,1579,1470,A41,Queen's Pawn,2
71,87,mate,white,Rapid,1617,1590,A45,Indian Game,2
72,54,mate,black,Rapid,1207,1588,C02,French Defense: Advance |  Steinitz Variation,7
73,54,resign,black,Rapid,1595,1547,D00,Queen's Pawn Game: Mason Attack,3
74,37,resign,white,Rapid,1855,1599,C01,French Defense: Exchange Variation,5
75,50,resign,white,Rapid,1589,1547,A40,Horwitz Defense,2
76,131,resign,white,Classical,1571,1728,D02,Queen's Pawn Game: London System,5
77,48,resign,white,Classical,1720,1579,C00,French Defense: Chigorin Variation,3
78,47,resign,black,Rapid,1579,2105,D02,Queen's Pawn Game: London System,5
79,64,mate,black,Rapid,1768,1560,C00,French Defense: La Bourdonnais Variation,3
80,61,resign,white,Rapid,1552,1436,D00,Queen's Pawn Game: Mason Attack,3
81,57,mate,white,Rapid,1536,1667,D02,Queen's Pawn Game: London System,5
82,51,resign,white,Rapid,1521,1549,A10,English Opening: Anglo-Lithuanian Variation,2
83,58,mate,black,Rapid,1251,1545,A00,Crab Opening,3
84,71,resign,white,Rapid,1537,1408,D00,Queen's Pawn Game: Mason Attack,3
85,114,resign,white,Rapid,1522,1512,A40,Queen's Pawn,1
86,39,resign,white,Rapid,1602,1532,C18,French Defense: Winawer Variation |  Advance Variation #2,11
87,20,resign,black,Rapid,1543,1593,D02,Queen's Pawn Game: London System,5
88,48,resign,black,Classical,1556,1539,D00,Queen's Pawn Game: Mason Attack,3
89,34,mate,black,Rapid,1409,1548,C00,French Defense: Knight Variation,3
90,51,resign,white,Rapid,1539,1418,D02,Queen's Pawn Game: London System,5
91,69,resign,white,Rapid,1603,1550,C00,French Defense: Queen's Knight,3
92,28,resign,white,Rapid,1542,1399,D00,Queen's Pawn Game: Steinitz Countergambit,4
93,62,resign,black,Rapid,1546,1877,D02,Queen's Pawn Game: London System,5
94,62,mate,black,Rapid,1134,1535,A47,Queen's Indian Defense,4
