game_id,turns,victory_status,winner,increment_code,white_rating,black_rating,opening_eco,opening_name,opening_move_count
1,16,resign,black,Blitz,1322,1261,B00,Nimzowitsch Defense: Kennedy Variation,4
2,61,mate,white,Blitz,1496,1500,C20,King's Pawn Game: Leonardis Variation,3
3,61,mate,white,Rapid,1439,1454,D02,Queen's Pawn Game: Zukertort Variation,3
4,95,mate,white,Classical,1523,1469,C41,Philidor Defense,5
6,33,resign,white,Rapid,1520,1423,D00,Blackmar-Diemer Gambit: Pietrowsky Defense,10
7,9,resign,black,Rapid,1413,2108,B00,Nimzowitsch Defense: Kennedy Variation |  Linksspringer Variation,5
8,66,resign,black,Rapid,1439,1392,C50,Italian Game: Schilling-Kostic Gambit,6
9,119,mate,white,Rapid,1381,1209,B01,Scandinavian Defense: Mieses-Kotroc Variation,4
10,39,mate,white,Rapid,1381,1272,A00,Van't Kruijs Opening,1
11,38,resign,black,Rapid,1381,1867,C02,French Defense: Advance Variation |  Paulsen Attack,9
12,60,resign,black,Blitz,1381,1936,C00,French Defense: Knight Variation,3
13,31,resign,black,Blitz,1381,1607,C00,French Defense #2,2
14,31,mate,white,Rapid,1094,1141,C50,Four Knights Game: Italian Variation,8
16,52,resign,black,Rapid,1094,1141,C50,Four Knights Game: Italian Variation,8
17,66,mate,black,Rapid,1141,1094,C50,Four Knights Game: Italian Variation,8
18,101,resign,black,Rapid,1094,1300,C41,Philidor Defense #3,5
19,25,resign,white,Rapid,1500,1094,D00,Queen's Pawn Game,2
20,14,resign,black,Rapid,1094,1676,C55,Italian Game: Anti-Fried Liver Defense,6
22,17,resign,white,Rapid,1500,1094,B20,Sicilian Defense: Bowdler Attack,3
24,13,resign,black,Rapid,1113,1423,B21,Sicilian Defense: Smith-Morra Gambit #2,3
26,43,resign,white,Rapid,1825,1079,C45,Scotch Game: Haxo Gambit,8
30,64,resign,black,Rapid,1358,1036,B21,Sicilian Defense: Smith-Morra Gambit #2,3
33,21,resign,black,Rapid,1019,1500,D20,Queen's Gambit Accepted: Central Variation |  Greco Variation,6
34,11,resign,white,Rapid,1422,975,B20,Sicilian Defense: Bowdler Attack,3
36,28,resign,white,Rapid,1569,978,D00,Blackmar-Diemer Gambit: Tartakower Variation,10
37,22,resign,black,Rapid,978,1500,A45,Indian Game,2
42,30,resign,white,Classical,1500,978,B21,Sicilian Defense: Smith-Morra Gambit #2,3
44,41,resign,white,Rapid,1500,978,B21,Sicilian Defense: Smith-Morra Gambit #2,3
45,49,resign,white,Rapid,1500,978,B20,Sicilian Defense: Bowdler Attack,3
47,7,resign,white,Rapid,1343,978,B20,Sicilian Defense: Bowdler Attack,3
49,41,mate,white,Classical,2436,978,B01,Scandinavian Defense: Mieses-Kotroc Variation,4
50,5,resign,black,Rapid,978,1500,C00,French Defense: Normal Variation,3
54,8,resign,white,Rapid,1521,1162,A04,Zukertort Opening: Ross Gambit,2
57,30,resign,black,Rapid,1414,1442,C41,Philidor Defense: Larsen Variation,8
58,44,resign,black,Rapid,1457,1294,C44,Scotch Game,5
59,29,resign,white,Rapid,1525,1466,C41,Philidor Defense: Lopez Countergambit,6
60,37,resign,black,Blitz,1207,1579,C00,French Defense: Knight Variation,3
61,49,resign,white,Blitz,1567,1573,A40,Modern Defense,2
62,32,resign,black,Blitz,1578,1605,A40,Horwitz Defense,2
64,40,mate,black,Blitz,1618,1568,C00,French Defense #2,2
65,39,resign,white,Blitz,1755,1574,A04,Zukertort Opening: Kingside Fianchetto,2
66,57,resign,white,Rapid,1561,1596,A45,Indian Game,2
67,78,resign,black,Blitz,1500,1554,C00,French Defense: Queen's Knight,3
68,61,resign,white,Rapid,1544,1461,D00,Queen's Pawn Game: Mason Attack,3
69,44,resign,black,Rapid,1563,1335,D00,Queen's Pawn Game: Mason Attack,3
71,87,mate,white,Rapid,1617,1590,A45,Indian Game,2
72,54,mate,black,Rapid,1207,1588,C02,French Defense: Advance |  Steinitz Variation,7
73,54,resign,black,Rapid,1595,1547,D00,Queen's Pawn Game: Mason Attack,3
75,50,resign,white,Rapid,1589,1547,A40,Horwitz Defense,2
76,131,resign,white,Classical,1571,1728,D02,Queen's Pawn Game: London System,5
77,48,resign,white,Classical,1720,1579,C00,French Defense: Chigorin Variation,3
78,47,resign,black,Rapid,1579,2105,D02,Queen's Pawn Game: London System,5
79,64,mate,black,Rapid,1768,1560,C00,French Defense: La Bourdonnais Variation,3
80,61,resign,white,Rapid,1552,1436,D00,Queen's Pawn Game: Mason Attack,3
81,57,mate,white,Rapid,1536,1667,D02,Queen's Pawn Game: London System,5
83,58,mate,black,Rapid,1251,1545,A00,Crab Opening,3
84,71,resign,white,Rapid,1537,1408,D00,Queen's Pawn Game: Mason Attack,3
85,114,resign,white,Rapid,1522,1512,A40,Queen's Pawn,1
87,20,resign,black,Rapid,1543,1593,D02,Queen's Pawn Game: London System,5
88,48,resign,black,Classical,1556,1539,D00,Queen's Pawn Game: Mason Attack,3
89,34,mate,black,Rapid,1409,1548,C00,French Defense: Knight Variation,3
90,51,resign,white,Rapid,1539,1418,D02,Queen's Pawn Game: London System,5
91,69,resign,white,Rapid,1603,1550,C00,French Defense: Queen's Knight,3
92,28,resign,white,Rapid,1542,1399,D00,Queen's Pawn Game: Steinitz Countergambit,4
93,62,resign,black,Rapid,1546,1877,D02,Queen's Pawn Game: London System,5
95,85,mate,white,Rapid,1513,1784,A40,Horwitz Defense,2
96,38,resign,white,Rapid,1501,1445,D02,Queen's Pawn Game: London System,5
97,14,resign,white,Classical,1500,1500,C50,Italian Game: Giuoco Pianissimo |  Normal,8
101,75,outoftime,white,Rapid,1724,1855,C45,Scotch Game,7
102,135,mate,white,Rapid,1951,1729,C02,French Defense: Advance Variation |  Main Line,11
103,81,outoftime,white,Rapid,1726,1388,C41,Philidor Defense,5
105,70,mate,black,Rapid,1597,1728,C00,French Defense: Knight Variation,3
108,137,outoftime,white,Rapid,1746,1487,D20,Queen's Gambit Accepted: Old Variation,5
109,46,resign,black,Rapid,1744,1735,C02,French Defense: Advance Variation |  Paulsen Attack,9
111,28,resign,black,Rapid,1769,1396,D20,Queen's Gambit Accepted: Old Variation,5
115,33,resign,white,Rapid,1770,1872,D02,Queen's Pawn Game: Zukertort Variation,3
116,90,resign,black,Rapid,1783,1721,D02,Queen's Pawn Game: London System,5
121,59,mate,white,Rapid,1706,925,D02,Queen's Pawn Game: London System,5
122,26,outoftime,black,Rapid,1244,1219,B00,Nimzowitsch Defense: Mikenas Variation,4
123,23,mate,white,Rapid,1215,921,C50,Italian Game,5
126,120,draw,draw,Rapid,1139,1212,C50,Four Knights Game: Italian Variation,8
128,26,mate,black,Rapid,1234,1359,C55,Italian Game: Anti-Fried Liver Defense,6
132,47,resign,white,Classical,1276,1308,C55,Italian Game: Anti-Fried Liver Defense,6
135,9,resign,white,Rapid,1338,1277,D00,Queen's Pawn Game #2,3
138,39,mate,white,Rapid,1248,1253,B00,Goldsmith Defense,2
143,12,draw,draw,Rapid,1215,1219,C50,Italian Game,5
144,30,resign,white,Rapid,1227,1227,C50,Four Knights Game: Italian Variation,8
148,156,mate,black,Rapid,1226,1478,C40,King's Knight Opening,3
154,50,resign,black,Rapid,1228,1343,B01,Scandinavian Defense: Panov Transfer,6
156,65,outoftime,white,Blitz,1852,1852,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,5
159,76,resign,black,Rapid,1861,1844,C55,Italian Game: Anti-Fried Liver Defense,6
162,59,resign,white,Rapid,1851,1890,C00,French Defense: Knight Variation,3
163,70,resign,black,Rapid,1860,1840,B50,Sicilian Defense: Delayed Alapin,5
167,107,resign,white,Rapid,1885,1856,B50,Sicilian Defense,4
168,58,resign,white,Classical,1847,1802,A40,Queen's Pawn,1
172,44,resign,black,Rapid,1860,1820,C00,French Defense: Knight Variation,3
173,40,outoftime,black,Rapid,1854,1849,A45,Paleface Attack,3
174,105,outoftime,white,Rapid,1895,1859,B50,Sicilian Defense,4
176,144,outoftime,draw,Rapid,1866,1843,B50,Sicilian Defense,4
181,107,draw,draw,Rapid,1866,1835,C55,Italian Game: Two Knights Defense |  Modern Bishop's Opening,7
184,40,resign,black,Rapid,1834,1835,B30,Sicilian Defense: Old Sicilian,4
187,30,resign,black,Rapid,1858,1790,B01,Scandinavian Defense: Mieses-Kotroc Variation,4
188,54,resign,black,Rapid,1871,1847,B30,Sicilian Defense: Old Sicilian,4
189,69,resign,black,Rapid,1846,1869,C41,Philidor Defense,5
191,136,resign,black,Rapid,1800,1826,B20,Sicilian Defense,2
192,124,mate,black,Blitz,1283,1267,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,5
193,96,resign,black,Rapid,1290,1270,A00,Hungarian Opening,1
